"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @jediw0w: di ko alam kung papatalsikin ako ng school ko dahil dito

Para kay Kian. #JusticeForKian #stopthekillings https://t.co/IC3o5WV…",FALSE,0,NA,2017-08-20 12:54:07,FALSE,NA,"899253209776009217",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Samahang_GALIAN",298,TRUE,FALSE,NA,NA
"2","RT @USTBioSoc: #JusticeForKian #StopTheKillings https://t.co/fGuOG20Nwk",FALSE,0,NA,2017-08-20 12:54:05,FALSE,NA,"899253204289937408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kerstencalimag",4,TRUE,FALSE,NA,NA
"3","RT @maykamaykaba: Speed paint, 2016 © The Art of Patricia Ramos

#JusticeForKian #artPH https://t.co/HpUjOm09Jn",FALSE,0,NA,2017-08-20 12:53:59,FALSE,NA,"899253178109050880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsJMLopez",5572,TRUE,FALSE,NA,NA
"4","RT @Ennrriiiqqquuue: old cartoon, relevant message #JusticeForKian https://t.co/XS3vgwB7Px",FALSE,0,NA,2017-08-20 12:53:57,FALSE,NA,"899253169586192385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","emraizaulul",4871,TRUE,FALSE,NA,NA
"5","#StopTheKillings #JusticeForKian #JusticeForAllEJKVictims https://t.co/ZjEi3S3WLP",FALSE,0,NA,2017-08-20 12:53:56,FALSE,NA,"899253163517067264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mosesalbiento",0,FALSE,FALSE,NA,NA
"6","RT @giasison: There's a saying, your leader can make or break you. The Philippines is breaking. #JusticeForKian #StopEJKs",FALSE,0,NA,2017-08-20 12:53:53,FALSE,NA,"899253152016252928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MulanMouse",724,TRUE,FALSE,NA,NA
"7","RT @Ennrriiiqqquuue: old cartoon, relevant message #JusticeForKian https://t.co/XS3vgwB7Px",FALSE,0,NA,2017-08-20 12:53:52,FALSE,NA,"899253146966294529",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ponStaaark",4871,TRUE,FALSE,NA,NA
"8","Ang hindi kayang gawin ni Duterte at ng kanyang kampon. #ChangeScamming #JusticeForKian https://t.co/XTpxaUGV0S",FALSE,0,NA,2017-08-20 12:53:47,FALSE,NA,"899253128171732992",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Change_Scamming",0,FALSE,FALSE,NA,NA
"9","RT @Ennrriiiqqquuue: old cartoon, relevant message #JusticeForKian https://t.co/XS3vgwB7Px",FALSE,0,NA,2017-08-20 12:53:37,FALSE,NA,"899253084660027393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bettinafayee",4871,TRUE,FALSE,NA,NA
"10","RT @CSB_OCA: Let us work together to put an end to the culture of violence. #JusticeForKian https://t.co/1v8YzOvVOi",FALSE,0,NA,2017-08-20 12:53:19,FALSE,NA,"899253010785722369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nyenyenette",295,TRUE,FALSE,NA,NA
"11","""Tama na po, may test pa ako bukas""
#JusticeForKian",FALSE,0,NA,2017-08-20 12:53:19,FALSE,NA,"899253010353840128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joythpringles",0,FALSE,FALSE,NA,NA
