"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Can the Senate please abolish this useless agency? @SenGracePOE @sonnyangara https://t.co/vfKpHRsTbY",FALSE,0,NA,2017-08-14 18:39:19,FALSE,NA,"897165758169403394",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","evepotpourri",0,FALSE,FALSE,NA,NA
"2","RT @SenGracePOE: Statement on LTFRB's order to suspend Uber https://t.co/tqIERRF0bY",FALSE,0,NA,2017-08-14 18:39:04,FALSE,NA,"897165692801130496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yatsybabes",206,TRUE,FALSE,NA,NA
"3","RT @thatguySLATER: LTFRB: ""Taxis are unsafe. Buses cause traffic. MRT keeps breaking down.""
LTFRB: ""Hmm.. Let's cancel UBER!"" 
Ì†ΩÌπÑ
#PrayforLT‚Ä¶",FALSE,0,NA,2017-08-14 18:38:40,FALSE,NA,"897165592024596480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KALOY__",385,TRUE,FALSE,NA,NA
"4","Gusto kasi ng LTFRB na nahihirapan ang mga pinoy. kaya pinasuspend yung Uber. Ì†ΩÌπÑ Myghad, is that a joke? myghad, e ano ho yan? Ì†ΩÌ∏Ç",FALSE,0,NA,2017-08-14 18:38:29,FALSE,NA,"897165546294136832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imFHamberrt",0,FALSE,FALSE,NA,NA
"5","@lynclouie @LTFRB Ì†ΩÌ∏Ö i miss you, Clouie!!",FALSE,0,"lynclouie",2017-08-14 18:38:26,FALSE,"897087994351439876","897165533702782976","128060197","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jelicarabao",0,FALSE,FALSE,NA,NA
"6","@LTFRB here's an idea Ì†ΩÌ≤° https://t.co/z1xqP6Dq9I",FALSE,0,"LTFRB",2017-08-14 18:38:12,FALSE,NA,"897165473560707072","1407694686","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","akosiabbi",0,FALSE,FALSE,NA,NA
"7","Ang most corrupt ng gobyerno:
-Customs
-DPWH
-LTO and LTFRB

Lahat may kinalaman sa traveling.

Mag-work-at-home na tayong lahat!",FALSE,0,NA,2017-08-14 18:38:00,FALSE,NA,"897165424982282240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WakeUpArtist",0,FALSE,FALSE,NA,NA
"8","Tengene walang magtatrabaho bukas #LTFRB",FALSE,0,NA,2017-08-14 18:36:50,FALSE,NA,"897165132240896003",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","falcon783",0,FALSE,FALSE,NA,NA
"9","RT @SenGracePOE: Statement on LTFRB's order to suspend Uber https://t.co/tqIERRF0bY",FALSE,0,NA,2017-08-14 18:36:27,FALSE,NA,"897165034693971968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PHdocuments",206,TRUE,FALSE,NA,NA
"10","RT @SenGracePOE: Statement on LTFRB's order to suspend Uber https://t.co/tqIERRF0bY",FALSE,0,NA,2017-08-14 18:35:47,FALSE,NA,"897164867286687744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BenchFuentes",206,TRUE,FALSE,NA,NA
