"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#SEAGames2017 na naman Ì†ΩÌ∏Ç bakit feeling ko stress na stress ako ngayon sa basketball? Ì†ΩÌ∏Ç #GilasPilipinas",FALSE,0,NA,2017-08-20 13:25:36,FALSE,NA,"899261135051870208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thejean97",0,FALSE,FALSE,NA,NA
"2","GO BEBE KOBE AAAAAAHHHHH!!! #GilasPilipinas Ì†ΩÌ≤ôÌ†ΩÌ≤ôÌ†ΩÌ≤ô",FALSE,0,NA,2017-08-20 13:25:19,FALSE,NA,"899261060892344320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imfvckningtrrbl",0,FALSE,FALSE,NA,NA
"3","Goodluck @ray1parks @kieferravena @troyrosario18 !!! #GilasPilipinas",FALSE,0,NA,2017-08-20 13:24:10,FALSE,NA,"899260771606986753",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KyleBalason",0,FALSE,FALSE,NA,NA
"4","Ang Christian Standhardinger natin mangangalabaw na naman sa SEA Games, hopefully. #GilasPilipinas",FALSE,0,NA,2017-08-20 13:24:09,FALSE,NA,"899260767760900096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thejean97",0,FALSE,FALSE,NA,NA
"5","Congrats #GilasPilipinas still proud! Ì†ΩÌ±äÌ†ºÌøºÌ†ΩÌ±äÌ†ºÌøºÌ†ºÌøÄÌ†ºÌ∑µÌ†ºÌ∑≠ https://t.co/a5C0blVECw",FALSE,0,NA,2017-08-20 13:24:03,FALSE,NA,"899260743111106562",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","geoffrey_z",0,FALSE,FALSE,NA,NA
"6","Go for the gold!!! #GilasPilipinas #SEAGames2017",FALSE,0,NA,2017-08-20 13:23:26,FALSE,NA,"899260590740262912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","romwelch",0,FALSE,FALSE,NA,NA
"7","Here we go - #GilasPilipinas starts off its SEA Games campaign against Thailand. #LabanPilipinas #PUSO",FALSE,0,NA,2017-08-20 13:23:24,FALSE,NA,"899260578681585664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I_Am_Flash",0,FALSE,FALSE,NA,NA
"8","Go Kobe and Rayray!! Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏ç
#GilasPilipinas #SEAgame2017",FALSE,0,NA,2017-08-20 13:22:52,FALSE,NA,"899260446858854402",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marlolon11",0,FALSE,FALSE,NA,NA
"9","RT @mapang_asar_ka: MARAMING SALAMAT!! 
MABUHAY KAYO #GilasPilipinas team!! 
*salute* Ì†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±è 
#LabanPilipinas Ì†ΩÌ≤ú https://t.co/0oVJpxTpjX",FALSE,0,NA,2017-08-20 13:22:32,FALSE,NA,"899260361802629120",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","FanModeOn313",1,TRUE,FALSE,NA,NA
"10","RT @jinkyftljp: @tbvromeo congrats guys! We're so proud of you! Manalo man o matalo, alam nyo yan Ì†ºÌæâ #GilasPilipinas",FALSE,0,NA,2017-08-20 13:22:20,FALSE,NA,"899260310938189824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lrclyg",2,TRUE,FALSE,NA,NA
"11","here we go! #PUSO #GilasPilipinas #SEAGamesKL2017",FALSE,0,NA,2017-08-20 13:22:19,FALSE,NA,"899260308690042880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jkgmolina",0,FALSE,FALSE,NA,NA
"12","Magbabalik muli tayo! #GilasPilipinas https://t.co/aDM277TOxL",FALSE,0,NA,2017-08-20 13:20:46,FALSE,NA,"899259919399919616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thejean97",0,FALSE,FALSE,NA,NA
"13","Thank you for playing with #PUSO, #GilasPilipinas! Wasn't what we all wanted, but still proud of y'all. Safe trip home!",FALSE,0,NA,2017-08-20 13:20:28,FALSE,NA,"899259842384216064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dregonz",0,FALSE,FALSE,NA,NA
"14","@juttsulit Sir, please extend my heartfelt thanks to our Gilas team. Salute to all of you #GilasPilipinas Ì†ºÌ∑µÌ†ºÌ∑≠‚ù§Ô∏è",FALSE,0,"juttsulit",2017-08-20 13:19:45,FALSE,"899255176040775680","899259660867444736","303950991","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MeAnneCaravita",0,FALSE,FALSE,NA,NA
"15","RT @jinkyftljp: @tbvromeo congrats guys! We're so proud of you! Manalo man o matalo, alam nyo yan Ì†ºÌæâ #GilasPilipinas",FALSE,0,NA,2017-08-20 13:18:56,FALSE,NA,"899259455749079040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","donnambj",2,TRUE,FALSE,NA,NA
"16","7th Ì†ºÌ∑µÌ†ºÌ∑≠Ì†ºÌ∑µÌ†ºÌ∑≠Ì†ºÌ∑µÌ†ºÌ∑≠ Still proud of you guys! ‚ù§Ô∏è #Gilas #GilasPilipinas‚Ä¶ https://t.co/hOtF3UiiwF",FALSE,0,NA,2017-08-20 13:18:12,FALSE,NA,"899259271896059907",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Mikkarobles",0,FALSE,FALSE,NA,NA
"17","Ì†ºÌ∑µÌ†ºÌ∑≠ #GilasPilipinas Ì†ΩÌ±è @japethaguilar35 @jaywil17 @Mr_Wright_ @tbvromeo  @GNorwood5 @AbaiJuneMar15 Christian, Abueva, CBC, Jio, Almazan,Pogoy",FALSE,0,NA,2017-08-20 13:18:05,FALSE,NA,"899259243953496066",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jap25Scott6_JC",0,FALSE,FALSE,NA,NA
"18","God Bless Kuya @troyrosario18 Troyminate them Ì†ΩÌ∏Å and for the rest of the team God bless too. ‚ù§ Laban Pilipinas! #GilasPilipinas",FALSE,0,NA,2017-08-20 13:17:30,FALSE,NA,"899259094372044804",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thejean97",0,FALSE,FALSE,NA,NA
"19","Goodluck #GilasPilipinas Ì†ΩÌ≤õ‚ù§Ì†ΩÌ≤ô",FALSE,0,NA,2017-08-20 13:15:46,FALSE,NA,"899258660009922570",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rubyabinal23",0,FALSE,FALSE,NA,NA
"20","Congrats!!! #GilasPilipinas https://t.co/KyqnjwYVFz",FALSE,0,NA,2017-08-20 13:15:34,FALSE,NA,"899258608378142720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eunidm",0,FALSE,FALSE,NA,NA
"21","RT @YsraelYaj: So after we binge watched Kdramas, this is how the Koreans repay us? HAHAHA #GilasPilipinas",FALSE,0,NA,2017-08-20 13:15:10,FALSE,NA,"899258508171853824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bye_nhel",4,TRUE,FALSE,NA,NA
"22","RT @SmartGilas: #FibaAsiaCup2017 Classification Round for 5th-8th
PHILIPPINES vs. LEBANON
August 19
9PM Manila time
#GilasPilipinas #LabanP‚Ä¶",FALSE,0,NA,2017-08-20 13:14:54,FALSE,NA,"899258441931161600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bye_nhel",27,TRUE,FALSE,NA,NA
"23","RT @benedictowelmar: Terrence Romeo slaying oppas #GilasPilipinas https://t.co/6eaz7CXwxx",FALSE,0,NA,2017-08-20 13:14:37,FALSE,NA,"899258370984628224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bye_nhel",4,TRUE,FALSE,NA,NA
"24","RT @jaireyes5: Jayson Castro and Terrence Romeo is the best backcourt in Asia. #GilasPilipinas @tbvromeo",FALSE,0,NA,2017-08-20 13:13:47,FALSE,NA,"899258158840856577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bye_nhel",184,TRUE,FALSE,NA,NA
"25","Am super proud of you @Mr_Wright_ and @tbvromeo
Congratulations, GILAS PILIPINAS!

#LabanPilipinas
#GilasPilipinas 
#FIBAAsiaCup2017 
#puso",FALSE,0,NA,2017-08-20 13:13:45,FALSE,NA,"899258153031815168",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","FanModeOn313",0,FALSE,FALSE,NA,NA
"26","JIOVANI JALALON WEARING HIS HEADBAND HUHU CUTE.Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌπàÌ†ΩÌ≤û #GilasPilipinas https://t.co/803RdvzhAP",FALSE,1,NA,2017-08-20 13:13:39,FALSE,NA,"899258127198990336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","klembaaang",0,FALSE,FALSE,NA,NA
"27","RT @SirQuintoFTW: Life is a game. Some days you win. Other days you lose. In the end, it's the PUSO that matters. Salamat, #GilasPilipinas!‚Ä¶",FALSE,0,NA,2017-08-20 13:13:28,FALSE,NA,"899258081917284352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bye_nhel",31,TRUE,FALSE,NA,NA
"28","RT @patriciahizon: This hurts. Ì†ΩÌ∏≠ But we still tip our hats off to you, #GilasPilipinas.",FALSE,0,NA,2017-08-20 13:13:15,FALSE,NA,"899258026351251456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bye_nhel",161,TRUE,FALSE,NA,NA
