"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Suspended ang uber today? Ang epal po nila! Kayo umuwi ng late dahil sa work tapos wala kaung sariling sasakayan/di marunong magdrive. Ì†ΩÌ∏°",FALSE,0,NA,2017-08-14 18:39:06,FALSE,NA,"897165700883664896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","simpleGWEN",0,FALSE,FALSE,NA,NA
"2","@LTFRB Clearly wala kase kayo sigurong kickback sa uber or grab kaya pinagiinitan niyo. F*cking hypocrites and corr‚Ä¶ https://t.co/i3i0c3QlWo",FALSE,0,"LTFRB",2017-08-14 17:58:04,TRUE,"894328780981911553","897155377007017984","1407694686","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlexanderDuca",0,FALSE,FALSE,NA,NA
"3","Uber over Grab pa naman huhu why? Ì†ΩÌ∏≠",FALSE,1,NA,2017-08-14 16:15:03,FALSE,NA,"897129448377417730",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jadomagallanes",0,FALSE,FALSE,NA,NA
"4","what happened to ‚Äúpromote safety, protection, comfort and convenience to persons‚Äù? @LTFRB I haven‚Äôt ridden a taxi that offers that
@Uber_PH",FALSE,0,NA,2017-08-14 16:11:28,FALSE,NA,"897128548439162880",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","joeycampillo",0,FALSE,FALSE,NA,NA
"5","There has got to be a reason behind LTFRB's move to suspend Uber but dayum, I can't help but feel this same sentime‚Ä¶ https://t.co/UkkPxBr6W0",FALSE,0,NA,2017-08-14 16:06:10,TRUE,NA,"897127214293991424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IAMJoyceeM",0,FALSE,FALSE,NA,NA
"6","Everyone is hating LTFRB. Not saying that they're perfect, pero may nakaisip man lang ba na may fault din ang management ng Uber sa issue?",FALSE,4,NA,2017-08-14 15:51:17,FALSE,NA,"897123468700811264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guillyeah",0,FALSE,FALSE,NA,NA
"7","Of all the days naman kasi na masususpend ang uber, bukas talaga? Kung kelan aattend ako ng convention magisa at hindi ko alam yung place. Ì†ΩÌ∏Ü",FALSE,0,NA,2017-08-14 15:44:03,FALSE,NA,"897121647827722240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kimgabmagtibay",0,FALSE,FALSE,NA,NA
"8","Guys question. 1st time ko kasi gagamit ng Grab. Same mechanics lang ba to sa uber? Ung Grab share parang uber pool lag din? Haha sorry tnx!",FALSE,0,NA,2017-08-14 15:42:52,FALSE,NA,"897121351269351424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kimgabmagtibay",0,FALSE,FALSE,NA,NA
"9","Jsq. Wala nang UBER bukas. Tapos blockedt na 'ko ng grab. Hahahaha. Huhuhu",FALSE,0,NA,2017-08-14 15:30:03,FALSE,NA,"897118125786669057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JonathDonut",0,FALSE,FALSE,NA,NA
"10","But but but uber is my life :(",FALSE,5,NA,2017-08-14 15:23:56,FALSE,NA,"897116587777380352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","niinsie",0,FALSE,FALSE,NA,NA
"11","TIGIL TIGILAN NIYO NGA YUNG UBER HA NANGGIGIL AKO @LTFRB",FALSE,1,NA,2017-08-14 15:19:28,FALSE,NA,"897115461510324224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jonjoshuasantos",0,FALSE,FALSE,NA,NA
