"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @_CommSoc: Communication Society's official statement regarding PRRD's war on drugs https://t.co/NhkzHXcB5R",FALSE,0,NA,2017-08-20 13:10:26,FALSE,NA,"899257316087799809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aynnunag",23,TRUE,FALSE,NA,NA
"2","@dawende @Stewart___O Condemning Kian's killing and the war on drugs isn't mutually exclusive. Unless makitid Utak mo",FALSE,0,"dawende",2017-08-20 13:10:19,FALSE,"899175406250541056","899257289965617155","78218963","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adrianyu",0,FALSE,FALSE,NA,NA
"3","គ្រួសារ​របស់​យុវជន​ឈ្មោះ ហឿន ស៊ុយទ្រី ដែល​អាជ្ញាធរ​ចុះ​បង្ក្រាប​បទល្មើស​គ្រឿង​ញៀន​នៅ​ស្រុក​សំរោង ខេត្ត​តាកែវ... https://t.co/CIRebwP2d6",FALSE,0,NA,2017-08-20 13:10:16,FALSE,NA,"899257275512221697",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","khmernews",0,FALSE,FALSE,NA,NA
"4","RT @Watdahel_Marcel: : Of course, the war on drugs is anti-poor. When did they ever hold massive killing sprees in gated subdivisions?",FALSE,0,NA,2017-08-20 13:10:05,FALSE,NA,"899257230192553985",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PhilipIsFly",1718,TRUE,FALSE,NA,NA
"5","RT @infinitaehyunq: RT THIS IF YOU KNOW PUTANGINA☆

• Syempre dapat pilipino!!
• STANS BTS &amp; K-ARMYS!! ♥
• want new mutuals nyeam
• NO TO W…",FALSE,0,NA,2017-08-20 13:09:33,FALSE,NA,"899257096260034561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_maexxx",104,TRUE,FALSE,NA,NA
"6","RT @vicenews: Duterte's war on drugs and the press in the Philippines, one of the deadliest countries for reporters, VICE on HBO, tonight a…",FALSE,0,NA,2017-08-20 13:09:21,FALSE,NA,"899257043474825216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","queertastically",410,TRUE,FALSE,NA,NA
"7","RT @newsbreakph: Some of those killed in the #WarOnDrugs were below 10 years old. https://t.co/UwMSm85dla",FALSE,0,NA,2017-08-20 13:09:08,FALSE,NA,"899256990463016960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ddotcj",372,TRUE,FALSE,NA,NA
"8","RT @MillennialOfMNL: Sa mga patuloy pa ring naniniwala na epektibo ang War on Drugs ni Duterte, may mga bansa na gumawa na nito noon, hindi…",FALSE,0,NA,2017-08-20 13:09:01,FALSE,NA,"899256958930132994",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adctarroza",720,TRUE,FALSE,NA,NA
"9","RT @SalomeSalvi: still shaken by how heinously kian's life was taken. may it disturb us enough to take a stand against the inhumanity of th…",FALSE,0,NA,2017-08-20 13:09:00,FALSE,NA,"899256955822153731",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cstrdmsc",5,TRUE,FALSE,NA,NA
"10","You've got your 1000-word interview, your 3000-word profile, and then you've got your 6500-word album review. https://t.co/HyfbRtUdwO",FALSE,0,NA,2017-08-20 13:08:46,FALSE,NA,"899256898448502784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","32feet",0,FALSE,FALSE,NA,NA
"11","RT @LeahHardingAJE: The new face of the #Philippine's 'war on drugs' is a 17 year old who wanted to be a cop. It was the police that killed…",FALSE,0,NA,2017-08-20 13:08:41,FALSE,NA,"899256875937431553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oldmanFagin",214,TRUE,FALSE,NA,NA
"12","I think @OfacialDionisia hates Robredo, Hontiveros and Uson. But supports this bloody war on drugs. Tama ba, 'nay?… https://t.co/hErw5ZynaS",FALSE,0,NA,2017-08-20 13:08:41,TRUE,NA,"899256875853553665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","econcepcion",0,FALSE,FALSE,NA,NA
"13","RT @MillennialOfMNL: Sa mga patuloy pa ring naniniwala na epektibo ang War on Drugs ni Duterte, may mga bansa na gumawa na nito noon, hindi…",FALSE,0,NA,2017-08-20 13:08:34,FALSE,NA,"899256847214891009",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GwynethPacyaya",720,TRUE,FALSE,NA,NA
"14","RT @infinitaehyunq: RT THIS IF YOU KNOW PUTANGINA☆

• Syempre dapat pilipino!!
• STANS BTS &amp; K-ARMYS!! ♥
• want new mutuals nyeam
• NO TO W…",FALSE,0,NA,2017-08-20 13:08:19,FALSE,NA,"899256785600524288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bangtaniee",104,TRUE,FALSE,NA,NA
"15","RT @newsbreakph: Some of those killed in the #WarOnDrugs were below 10 years old. https://t.co/UwMSm85dla",FALSE,0,NA,2017-08-20 13:08:14,FALSE,NA,"899256765702787076",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","janyolski",372,TRUE,FALSE,NA,NA
