"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @PhelimKine: Just like #Philippines Prez #Duterte 's ""drug war"" is actually a war on the poor that has killed thousands of urban slum dw…",FALSE,0,NA,2017-08-14 03:33:00,FALSE,NA,"896937675453644801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MavicMBautis23",10,TRUE,FALSE,NA,NA
"2","RT @PhelimKine: ""Little evidence that #Duterte 's media killings task force has actively pursued attacks on journalists"" @condeHRW https://…",FALSE,0,NA,2017-08-14 03:31:44,FALSE,NA,"896937354442690560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MavicMBautis23",8,TRUE,FALSE,NA,NA
"3","RT @DonHenyo: An ex-PNoy Cabinet appointee told me that #Duterte has ordered his people to monitor all tweets &amp; social media posts by his c…",FALSE,0,NA,2017-08-14 03:29:06,FALSE,NA,"896936691549691904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","unlicomments",2,TRUE,FALSE,NA,NA
"4","Bugoy bugoy lang si #Duterte",FALSE,0,NA,2017-08-14 03:28:57,FALSE,NA,"896936656053444608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DatuSumakwel7",0,FALSE,FALSE,NA,NA
"5","@Diplomat_APAC #Hardliner #Duterte is bloodthirsty like #RadicalIslamist #Baghdadi.",FALSE,0,"Diplomat_APAC",2017-08-14 03:27:33,FALSE,"896935409791324162","896936301928173571","39922594","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MindOfMo",0,FALSE,FALSE,NA,NA
"6","Diplomat_APAC: What's behind the new #US #Philippines drone hype under #Duterte?: https://t.co/W8VEguTC0u",FALSE,0,NA,2017-08-14 03:27:20,FALSE,NA,"896936247729557509",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","DonJohnstonLC",0,FALSE,FALSE,NA,NA
"7","RT @PhelimKine: ""Little evidence that #Duterte 's media killings task force has actively pursued attacks on journalists"" @condeHRW https://…",FALSE,0,NA,2017-08-14 03:24:46,FALSE,NA,"896935600657285120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ThinkYellow",8,TRUE,FALSE,NA,NA
"8","RT @PhelimKine: Just like #Philippines Prez #Duterte 's ""drug war"" is actually a war on the poor that has killed thousands of urban slum dw…",FALSE,0,NA,2017-08-14 03:24:31,FALSE,NA,"896935538279628800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ThinkYellow",10,TRUE,FALSE,NA,NA
"9","What's behind the new #US #Philippines drone hype under #Duterte?: https://t.co/mXBqeVtACz",FALSE,1,NA,2017-08-14 03:24:00,FALSE,NA,"896935409791324162",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Diplomat_APAC",0,FALSE,FALSE,NA,NA
"10","RT @alyasjah: @BusinessMirror Abella says President #Duterte backs any move to correct institutional errors in the govt",FALSE,0,NA,2017-08-14 03:18:44,FALSE,NA,"896934084647067648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BusinessMirror",1,TRUE,FALSE,NA,NA
"11","@BusinessMirror Abella says President #Duterte backs any move to correct institutional errors in the govt",FALSE,0,"alyasjah",2017-08-14 03:16:59,FALSE,"896924343417970689","896933641833422854","836825974826283009","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alyasjah",1,FALSE,FALSE,NA,NA
"12","""President #Duterte governs a half-failed state. His signature domestic policy is the extra-judicial murder of drug users and dealers.""",FALSE,0,"alders_ledge",2017-08-14 03:14:34,FALSE,"896932469949186048","896933035471392768","137420854","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alders_ledge",0,FALSE,FALSE,NA,NA
"13","""In a region dominated by economic “tigers” the #Philippines barely muddles along...""

^
Article rips #Duterte.  https://t.co/Py7onKDLze",FALSE,0,NA,2017-08-14 03:12:19,FALSE,NA,"896932469949186048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alders_ledge",0,FALSE,FALSE,NA,NA
